"difficulty","question","metric","dimension"
"L2","Show me the YoY growth in shipments for YAGEO in June 2024.","YoY growth in shipments","brand, year_month, order_type"
"L2","What is the YoY growth % in POA BOOKED total sales for YAGEO in 2024-03?","YoY Growth %","brand"
"L2","What is the total sales for GREAT CHINA in 2024-12?","total_sales","cn, year_month"
"L2","What is the MoM total sales for MLCC in 2024-12?","total_sales","sub_unit"
"L2","What is the total OTR quantity for Capacitor in 2024-06?","total_qty","pbg, year_month"
"L2","What is the POA booked QoQ growth percentage for MLCC in Q1 2024?","POA_Booked_QoQ_Growth_Percent","pbu, year_quarter"
"L2","What is the POA BB Ratio for PBU_1 in 2024-06?","BB Ratio","pbu_1, year_month"
"L2","What is the POA BILLED Qty for YAGEO in Q1 2024?","POA BILLED Qty","brand"
"L2","What is the QoQ growth in total sales for HON HAI in 2024-Q3?","QoQ growth in total_sales","customer_parent"
"L2","What is the BB Ratio for Foxconn in 2024-08?","BB Ratio","local_assembler"
"L2","What is the total sales for GOOGLE in 2024-03?","total_sales","final_customer"
"L2","What is the Gross Profit for ATLAS in 2024-03?","Gross Profit (GP)","g7, year_month"
"L2","What is the Gross Margin for YAGEO in 2024-03?","Gross Margin","brand"
"L2","What is the POA BILLED Qty for YAGEO in 2024-02?","POA BILLED Qty","brand"
"L2","What is the POA BILLED total sales for G7 in 2024-06?","total_sales","g7"
"L2","What is the Book-to-Bill Ratio for YAGEO in Greater China in 2024-06?","Book-to-Bill Ratio","brand, ru, year_month"
"L2","Show me the BB Ratio for ATLAS in 2024-03.","BB Ratio","erp_sales_rep"
"L2","What is the QoQ growth in total sales for shipments by brand YAGEO in Q1 2024?","Total Sales QoQ Growth %","brand"
"L2","What is the POA BILLED Qty for YAGEO in 2024-12?","POA BILLED Qty","brand"
"L2","What is the Total Booked Qty for GREAT CHINA in 2024-03?","Total Booked Qty","region"
"L2","What is the QoQ % change for MLCC from Q1 2024 to Q2 2024?","QoQ %","sub_unit"
"L2","Could you share the POA MoM Growth % for Capacitor in 2024-08?","POA MoM Growth %","pbg"
"L2","What was the MLCC OTR Qty in 2024-06?","total_qty","pbu"
"L2","What is the Gross Margin for R-Chip in 2024-07?","Gross Margin","pbu_1"
"L2","What is the total sales for YAGEO in 2024-06?","total_sales","brand"
"L2","What is the backlog sales for HON HAI in 2024-03?","backlog_sales","customer_parent, order_type, year_month"
"L2","Show me the MoM total sales for Quanta in 2024-02.","total_sales","local_assembler"
"L2","What is the total quantity for HON HAI in 2024-03?","Total Qty","final_customer"
"L2","What is the backlog total sales for ATLAS in 2024-03?","total_sales","g7"
"L2","What is the total sales for YAGEO in 2024-02?","total_sales","brand"
"L2","What is the total sales for YAGEO in 2024-08?","total_sales","brand, year_month"
"L2","What is the YoY % total sales for G7 in 2024-06?","YoY % total_sales","G7"
"L2","What is the POA BB Ratio for YAGEO in 2024-02?","POA BB Ratio","brand"
"L2","What is the MoM total sales for ATLAS in 2024-07?","MoM_total_sales","erp_sales_rep, year_month"
"L2","What were total shipments (total_qty) in February 2024, by order_type?","total_qty","['order_type', 'year_month']"
"L2","What is the TOTAL_QTY for YAGEO in 2024-03?","total_qty","brand, year_month"
"L2","What is the POA BOOKED Qty for GREAT CHINA in 2024-07?","POA BOOKED Qty","CN"
"L2","What is the POA BOOKED YoY growth % for MLCC in 2024-06?","POA_BOOKED_YoY_Growth_Percent","['sub_unit', 'year_month']"
"L2","What is the total sales for the Capacitor product group in 2024-03?","total_sales","pbg"
"L2","Could you pull the POA BB Qty Ratio for MLCC in 2024-06?","BB Qty Ratio","pbu"
"L2","What are the total OTR sales for MLCC in 2024-07?","total_sales","MLCC"
"L2","What is the POA BB Qty Ratio for YAGEO in 2024-03?","BB Qty Ratio","brand"
"L2","What is the POA BB Ratio for HON HAI in 2024-03?","POA BB Ratio","customer_parent, year_month"
"L2","What is the MoM total sales for Pegatron in 2024-04?","MoM total_sales","local_assembler"
"L2","What is the POA QoQ Growth % for HON HAI in Q2 2024?","POA QoQ Growth %","final_customer, year_quarter"
"L2","What is the POA BOOKED QoQ Growth % for G7 in Q2 2024?","POA BOOKED QoQ Growth %","g7, year_quarter"
"L2","What is the Gross Profit for YAGEO in 2024-06?","Gross Profit","brand, year_month"
"L2","What is the total cost for the YAGEO brand in 2024-06?","total_cost","brand"
"L2","What is the POA BACKLOG for G7 in 2024-06?","poa_backlog","g7"
"L2","What is the Total Qty for YAGEO in 2024-03?","total_qty","brand"
