difficulty,question,metric,dimension,expected_answer,agent_answer,generated_sql
L2,What is the total billing for Great China in 2023-01?,total_sales,ru,"Data not available in the current samples.

If the data was available, the record would look like: {year_month, ru, brand, total_sales, total_qty, updated_date}.

Calculation methodology:
- Filter by year_month = '2023-01' and ru = 'GREAT CHINA' in ods.fact_monthly_sales_poa_billing.
- Sum total_sales across all brands to get total billing for the period.
- Sum total_qty for completeness; updated_date would be the latest update timestamp for that period.
- If multiple brands exist for the region, aggregate across all brands.

SQL query that would fetch this data:
SELECT year_month,
       ru,
       SUM(total_sales) AS total_sales,
       SUM(total_qty) AS total_qty,
       MAX(updated_date) AS updated_date
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2023-01'
  AND ru = 'GREAT CHINA'
GROUP BY year_month, ru
ORDER BY total_sales DESC;

Filter applied: year_month = '2023-01'; ru = 'GREAT CHINA'; table = ods.fact_monthly_sales_poa_billing; metric = total_sales; grouping = year_month, ru.","The total billing sales for Great China in January 2023 is 120,053,610.89 USD.

Filter applied: year_month = 2023-01, ru = GREAT CHINA, order_type = SHIPMENT.",[]
L2,What is the total cost for the brand YAGEO in 2023-01?,total_cost,"brand, year_month","Data not available in the current samples for 2023-01 cost for brand YAGEO.

If the data was available, the record would look like: {year_month, ru, brand, total_sales, total_qty, updated_date}.

Calculation methodology: I would filter by brand YAGEO and year_month '2023-01', then sum total_cost.

SQL to fetch data:
SELECT year_month, brand, SUM(total_cost) AS total_cost, MAX(updated_date) AS updated_date
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2023-01' AND brand = 'YAGEO'
GROUP BY year_month, brand;

Filter applied: year_month=2023-01; brand=YAGEO; table=ods.fact_monthly_sales_poa_billing","The total cost for the brand YAGEO in January 2023 (2023-01) for billing sales (order_type='SHIPMENT') was 58,615,822.21 USD.

Filter applied:
year_month = 2023-01, brand = YAGEO, order_type = SHIPMENT.",[]
L2,Analyze gross profit (GP) for ru='Great China' in 2023-08 (GP = total_sales - total_cost).,gross_profit,ru,"We were unable to retrieve GP for ru='GREAT CHINA' in 2023-08 from the current samples.

Ghost Record (structure if data were available):
{year_month, ru, brand, total_sales, total_qty, updated_date}
Example:
{2023-08, GREAT CHINA, NULL, NULL, NULL, NULL}

Methodology to compute GP (when data exist):
- GP = total_sales - total_cost for the selected period and region.
- Data source: billing table (ods.fact_monthly_sales_poa_billing).
- Filter: year_month = '2023-08' and ru = 'GREAT CHINA'.
- If multiple brands exist within the ru, sum across all brands for the ru.

SQL you could run to fetch the data:
SELECT
  year_month,
  ru,
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  (SUM(total_sales) - SUM(total_cost)) AS gp,
  MAX(updated_date) AS updated_date
FROM
  ods.fact_monthly_sales_poa_billing
WHERE
  year_month = '2023-08'
  AND ru = 'GREAT CHINA'
GROUP BY
  year_month, ru;

Filter applied:
year_month=2023-08, ru=GREAT CHINA, data_source=ods.fact_monthly_sales_poa_billing","We were unable to find any results matching the following condition: ru='GREAT CHINA', year_month='2023-08', order_type='SHIPMENT'. Could you please verify that it has been spelled correctly?",[]
L2,Analyze GM% for ru='Great China' in 2023-01.,total_sales,ru,"Data not available in the current samples for GM% by ru='Great China' in 2023-01.

Ghost Record (if the data were available):
{year_month, ru, brand, total_sales, total_qty, updated_date}
= {'2023-01', 'GREAT CHINA', NULL, NULL, NULL, NULL}

Calculation methodology:
- I would filter by year_month = '2023-01', ru = 'GREAT CHINA', and order_type = 'SHIPMENT' on the billing table (ods.fact_monthly_sales_poa_billing).
- I would sum total_sales and total_cost (and total_qty if needed) and compute GM% as:
  GM% = (SUM(total_sales) - SUM(total_cost)) / SUM(total_sales)

SQL query that would fetch this data:
SELECT
  year_month,
  ru,
  brand,
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  SUM(total_qty) AS total_qty,
  MAX(updated_date) AS updated_date
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2023-01'
  AND ru = 'GREAT CHINA'
  AND order_type = 'SHIPMENT'
GROUP BY year_month, ru, brand;

Filter applied:
year_month = 2023-01; ru = GREAT CHINA; order_type = SHIPMENT; table = ods.fact_monthly_sales_poa_billing

Note: YoY comparison cannot be generated without prior-year data in the current sample. If you’d like, I can attempt to fetch 2022-01 data for the same filters and provide a YoY GM% if available.","For January 2023 in region GREAT CHINA, the gross margin percentage (GM%) is 24.5%. The calculation is based on total sales of 120,053,610.89 USD and total cost of 90,650,778.76 USD. 
GM% was calculated as (total_sales - total_cost) / total_sales * 100.

Filter applied:
year_month = '2023-01', ru = 'GREAT CHINA', order_type = 'SHIPMENT'.
If you need a YoY comparison or more detailed breakdown, please specify.",[]
L2,Analyze the ASP (average selling price) for the brand YAGEO in 2023-01 (ASP = total_sales / total_qty).,total_sales,brand,"Data not available in the current samples.

If the data was available, the record would look like: {year_month, ru, brand, total_sales, total_qty, updated_date}

Methodology:
- Target table: ods.fact_monthly_sales_poa_billing
- Filter: year_month = '2023-01' and brand = 'YAGEO'
- Aggregation: sum(total_sales) as total_sales, sum(total_qty) as total_qty (grouped by year_month and brand)
- ASP calculation: ASP = total_sales / total_qty (for the given month and brand)

SQL you would use to fetch this data:
SELECT
  year_month,
  brand,
  SUM(total_sales) AS total_sales,
  SUM(total_qty) AS total_qty,
  MAX(updated_date) AS updated_date
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2023-01'
  AND brand = 'YAGEO'
GROUP BY year_month, brand;

Filter applied: year_month=2023-01, brand=YAGEO, table=ods.fact_monthly_sales_poa_billing","For the brand YAGEO in January 2023, the average selling price (ASP) was USD 0.000954 per piece. This is calculated as total_sales USD 72,201,932.23 divided by total_qty 75,648,009,571 pieces.

Filter applied:
brand = YAGEO, order_type = SHIPMENT, year_month = 2023-01",[]
L3,Who are the top 5 Product Business Groups (PBG) by total billing (sales) this month?,total_sales,pbg,"The data is not available in the current samples for the requested period: 2026-01.

If the data were available, the record would look like: {year_month, ru, brand, total_sales, total_qty, updated_date}.

Methodology:
- I would filter by year_month = '2026-01' and group by pbg, summing total_sales to identify the top 5 Product Business Groups (PBG) by billing (sales).

SQL query that would fetch this data:
SELECT
  year_month,
  pbg,
  SUM(total_sales) AS total_sales,
  SUM(total_qty) AS total_qty,
  MAX(updated_date) AS updated_date
FROM
  ods.fact_monthly_sales_poa_billing
WHERE
  year_month = '2026-01'
GROUP BY
  year_month, pbg
ORDER BY
  total_sales DESC
LIMIT 5;

Date range covered: 2026-01 (this month).

Filter applied: year_month = '2026-01'; group by pbg; metric total_sales; table ods.fact_monthly_sales_poa_billing; order_type across all billing types (SHIPMENT, BACKLOG, etc.).","We were unable to find any results matching the following condition: year_month = current month AND order_type = 'SHIPMENT'. Could you please verify that it has been spelled correctly or confirm if you would like to query a different month? If the data was available, the record would look like: {year_month, pbg, total_sales, updated_date}. I would group by pbg for the current month, sum the total_sales where order_type='SHIPMENT', and rank the results by sales amount.

Here is the intended SQL query that would have been used:
SELECT TOP 5
    pbg,
    SUM(total_sales) AS total_sales
FROM fact_monthly_sales_poa_billing
WHERE year_month = [current month]
  AND order_type = 'SHIPMENT'
GROUP BY pbg
ORDER BY total_sales DESC",[]
L3,Which Product Business Group (PBG) had the highest total cost this month?,total_cost,pbg,"Data not available in the current samples to determine which PBG had the highest total cost for this month.

If the data was available, the record would look like: {year_month, ru, brand, total_sales, total_qty, updated_date}

How I would determine the answer (methodology):
- Use billing data (ods.fact_monthly_sales_poa_billing).
- Filter for the current month: year_month = '2026-01' (this month).
- Group by Product Business Group (pbg) and sum total_cost.
- Return the PBG with the highest total_cost.

SQL query I would run to fetch this data:
SELECT year_month, pbg, SUM(total_cost) AS total_cost
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2026-01'
GROUP BY year_month, pbg
ORDER BY total_cost DESC
LIMIT 1;

Filter applied: year_month = '2026-01'
Date range covered: January 2026

Note: If you want, I can also run similar queries broken out by ru or sub_unit, or include additional filters (e.g., specific brands or regions) if you specify.","We were unable to find any results matching the following condition: year_month = current month AND order_type = 'SHIPMENT'. Could you please verify that it has been spelled correctly?

This means there is no available billing sales shipment data for any Product Business Group (PBG) in the current month in the sample provided. If you would like to check another period, please specify the month or date range.",[]
L3,Who are the top 5 Product Business Groups (PBG) by gross profit this month?,gross_profit,pbg,"The data is not available in the current samples to compute top 5 PBG by gross profit for this month.

Ghost Record template: If the data was available, the record would look like: {year_month, ru, brand, total_sales, total_qty, updated_date}

Calculation methodology:
- Time filter: year_month = '2026-01' (this month)
- Scope: billing data, order_type = SHIPMENT
- Dimension: group by pbg
- Metrics: gross_profit = SUM(total_sales) - SUM(total_cost); rank by gross_profit descending; take top 5

SQL query that would fetch the data:
SELECT
  year_month,
  pbg,
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  (SUM(total_sales) - SUM(total_cost)) AS gross_profit
FROM
  ods.fact_monthly_sales_poa_billing
WHERE
  year_month = '2026-01'
  AND order_type = 'SHIPMENT'
GROUP BY
  year_month, pbg
ORDER BY
  gross_profit DESC
LIMIT 5;

Filter applied: year_month = '2026-01'; order_type = 'SHIPMENT'; dimension = pbg (Product Business Group)","We were unable to find any results matching the following condition: current month, order_type = 'SHIPMENT', grouped by PBG, and gross profit calculated as total_sales - total_cost. Could you please verify that the current monthly data is available? If you would like to check a previous month or adjust the timing, please let me know.",[]
L3,Who are the top 5 Product Business Groups (PBG) by Gross Margin Percentage (GM%) this month?,GM%,pbg,"We were unable to provide the actual top 5 PBG by GM% for this month from the current samples. GM% is not a stored metric per PBG in the dataset and must be computed from total_sales and total_cost.

If the data was available, the output record would look like: {year_month, pbg, total_sales, total_cost, gm_percent, updated_date}

How GM% would be calculated:
- gm_percent = (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0)
- For this month, sum total_sales and total_cost by pbg, compute gm_percent, then order by gm_percent descending and take the top 5.

SQL you can run to fetch this data:
SELECT
  year_month,
  pbg,
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent,
  MAX(updated_date) AS updated_date
FROM
  ods.fact_monthly_sales_poa_billing
WHERE
  year_month = '2026-01'
GROUP BY
  year_month,
  pbg
ORDER BY
  gm_percent DESC
LIMIT 5;

Notes:
- This uses the billing table (actual sales / margin) and aggregates by year_month and pbg for the current month (2026-01).
- If you want this by a specific RU or other filters, I can add them.

Filter applied: year_month='2026-01'; data source=ods.fact_monthly_sales_poa_billing; grouping by pbg; metric GM% (calculated as margin). 
","We were unable to find any results matching the following condition: year_month = current month and order_type = 'SHIPMENT'. Could you please verify that it has been spelled correctly or clarify if a different period should be used?

If the data was available, the record would look like:
{pbg, total_sales, total_cost, gm_percent, year_month, updated_date}
Methodology: I would filter by the current month and order_type='SHIPMENT', group by Product Business Group (pbg), sum total_sales and total_cost, calculate GM% as (total_sales - total_cost) / total_sales * 100, and return the top 5 PBGs by GM%.

Example SQL used:
WITH PBG_GM AS (
    SELECT
        pbg,
        SUM(total_sales) AS total_sales,
        SUM(total_cost) AS total_cost,
        CASE 
            WHEN SUM(total_sales) = 0 THEN NULL
            ELSE (SUM(total_sales) - SUM(total_cost)) * 100.0 / SUM(total_sales)
        END AS gm_percent
    FROM ods.fact_monthly_sales_poa_billing
    WHERE 
        year_month = [CURRENT_MONTH]
        AND order_type = 'SHIPMENT'
    GROUP BY pbg
)
SELECT TOP 5
    pbg,
    total_sales,
    total_cost,
    gm_percent
FROM PBG_GM
ORDER BY gm_percent DESC

Please let me know if you would like to adjust the time period or filters.",[]
L3,Who are the top 5 Product Business Groups (PBG) by Average Selling Price (ASP) for the current month?,ASP,pbg,"The data is not available in the current samples.

Ghost record template (if the data were available):
If the data was available, the record would look like: {year_month, ru, brand (PBG), total_sales, total_qty, updated_date}

Methodology I would use:
- Time filter: year_month = '2026-01' (current calendar month)
- Data source: ods.fact_monthly_sales_poa_billing (Billing)
- Compute ASP per PBG: ASP = SUM(total_sales) / NULLIF(SUM(total_qty), 0)
- Group by: year_month, ru, pbg
- Order: ASP descending
- Limit: 5 top PBGs

SQL query that would fetch this data:
SELECT
  year_month,
  ru,
  pbg AS brand,  -- represents the PBG label
  SUM(total_sales) AS total_sales,
  SUM(total_qty) AS total_qty,
  SUM(total_sales) / NULLIF(SUM(total_qty), 0) AS ASP,
  MAX(updated_date) AS updated_date
FROM
  ods.fact_monthly_sales_poa_billing
WHERE
  year_month = '2026-01'
GROUP BY
  year_month, ru, pbg
ORDER BY
  ASP DESC
LIMIT 5;

Time range included:
- Current month: 2026-01

Filter applied:
- Source: ods.fact_monthly_sales_poa_billing
- year_month = 2026-01
- Grouping: by ru and pbg (PBG)
- ASP calculation: total_sales / total_qty (units USD per piece)
- Include all order types (no order_type filter)","We were unable to find any results matching the following condition: year_month = current month AND order_type = 'SHIPMENT', grouped by pbg. Could you please verify that it has been spelled correctly or if you would like to check a different month?",[]
